deleted network stats,12-12-2022_20:28:36
#################### NETWORK STATS 13/12/2022 14:01:35 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:01:36 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:01:38 ####################
Sent,0.1337890625 MB
Received,0.1298828125 MB
#################### NETWORK STATS 13/12/2022 14:01:39 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:01:40 ####################
Sent,0.2021484375 MB
Received,0.2744140625 MB
#################### NETWORK STATS 13/12/2022 14:01:41 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:01:43 ####################
Sent,0.158203125 MB
Received,0.240234375 MB
#################### NETWORK STATS 13/12/2022 14:01:44 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:01:45 ####################
Sent,0.10546875 MB
Received,0.041015625 MB
#################### NETWORK STATS 13/12/2022 14:01:46 ####################
Sent,0.052734375 MB
Received,0.1357421875 MB
#################### NETWORK STATS 13/12/2022 14:01:48 ####################
Sent,0.1064453125 MB
Received,0.1416015625 MB
#################### NETWORK STATS 13/12/2022 14:01:49 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:01:50 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:01:51 ####################
Sent,0.3837890625 MB
Received,0.5654296875 MB
#################### NETWORK STATS 13/12/2022 14:01:53 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:01:54 ####################
Sent,0.0537109375 MB
Received,0.6181640625 MB
#################### NETWORK STATS 13/12/2022 14:01:55 ####################
Sent,0.4990234375 MB
Received,0.2958984375 MB
#################### NETWORK STATS 13/12/2022 14:01:56 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:01:58 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:01:59 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:02:00 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:02:01 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:02:03 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:02:04 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:02:05 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:02:06 ####################
Sent,0.0537109375 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:02:08 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:02:09 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:02:10 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:02:11 ####################
Sent,0.3837890625 MB
Received,0.462890625 MB
#################### NETWORK STATS 13/12/2022 14:02:13 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:02:14 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:02:15 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:02:16 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:02:18 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:02:19 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:02:20 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:02:22 ####################
Sent,0.7236328125 MB
Received,0.9453125 MB
#################### NETWORK STATS 13/12/2022 14:02:23 ####################
Sent,4.578125 MB
Received,14.6787109375 MB
#################### NETWORK STATS 15/12/2022 00:38:56 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:38:57 ####################
Sent,0.052734375 MB
Received,0.052734375 MB
#################### NETWORK STATS 15/12/2022 00:38:58 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:38:59 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:01 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:02 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:03 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:04 ####################
Sent,3.65625 MB
Received,803.919921875 MB
#################### NETWORK STATS 15/12/2022 00:39:06 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:07 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:08 ####################
Sent,0.2138671875 MB
Received,5.0615234375 MB
#################### NETWORK STATS 15/12/2022 00:39:10 ####################
Sent,0.10546875 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:11 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:12 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:13 ####################
Sent,0.2109375 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:15 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:16 ####################
Sent,0.62109375 MB
Received,0.47265625 MB
#################### NETWORK STATS 15/12/2022 00:39:17 ####################
Sent,0.0 MB
Received,0.4208984375 MB
#################### NETWORK STATS 15/12/2022 00:39:18 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:20 ####################
Sent,0.0 MB
Received,0.2119140625 MB
#################### NETWORK STATS 15/12/2022 00:39:21 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:22 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:23 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:25 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:26 ####################
Sent,17.591796875 MB
Received,1347.833984375 MB
#################### NETWORK STATS 15/12/2022 00:39:27 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:28 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:30 ####################
Sent,0.0537109375 MB
Received,0.064453125 MB
#################### NETWORK STATS 15/12/2022 00:39:31 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:32 ####################
Sent,1.1650390625 MB
Received,0.4931640625 MB
#################### NETWORK STATS 15/12/2022 00:39:33 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:35 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:36 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:37 ####################
Sent,0.3125 MB
Received,0.4111328125 MB
#################### NETWORK STATS 15/12/2022 00:39:38 ####################
Sent,2.4443359375 MB
Received,109.98828125 MB
#################### NETWORK STATS 15/12/2022 00:39:40 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:41 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:42 ####################
Sent,0.0537109375 MB
Received,0.12890625 MB
#################### NETWORK STATS 15/12/2022 00:39:43 ####################
Sent,0.77734375 MB
Received,6.357421875 MB
