#################### MEMORY STATS 12/12/2022 20:28:15 ####################
Total memory,15.87 GB
Available memory,4.57 GB
In use memory,11.3 GB
Memory usage,4.57%
#################### MEMORY STATS 12/12/2022 20:28:16 ####################
Total memory,15.87 GB
Available memory,4.57 GB
In use memory,11.3 GB
Memory usage,4.57%
#################### MEMORY STATS 12/12/2022 20:28:17 ####################
Total memory,15.87 GB
Available memory,4.56 GB
In use memory,11.31 GB
Memory usage,4.56%
#################### MEMORY STATS 12/12/2022 20:28:19 ####################
Total memory,15.87 GB
Available memory,4.57 GB
In use memory,11.3 GB
Memory usage,4.57%
#################### MEMORY STATS 12/12/2022 20:28:20 ####################
Total memory,15.87 GB
Available memory,4.58 GB
In use memory,11.29 GB
Memory usage,4.58%
#################### MEMORY STATS 12/12/2022 20:28:21 ####################
Total memory,15.87 GB
Available memory,4.58 GB
In use memory,11.29 GB
Memory usage,4.58%
#################### MEMORY STATS 12/12/2022 20:28:22 ####################
Total memory,15.87 GB
Available memory,4.58 GB
In use memory,11.29 GB
Memory usage,4.58%
#################### MEMORY STATS 12/12/2022 20:28:24 ####################
Total memory,15.87 GB
Available memory,4.57 GB
In use memory,11.3 GB
Memory usage,4.57%
#################### MEMORY STATS 12/12/2022 20:28:25 ####################
Total memory,15.87 GB
Available memory,4.57 GB
In use memory,11.3 GB
Memory usage,4.57%
#################### MEMORY STATS 12/12/2022 20:28:26 ####################
Total memory,15.87 GB
Available memory,4.57 GB
In use memory,11.3 GB
Memory usage,4.57%
#################### MEMORY STATS 12/12/2022 20:28:27 ####################
Total memory,15.87 GB
Available memory,4.58 GB
In use memory,11.29 GB
Memory usage,4.58%
#################### MEMORY STATS 12/12/2022 20:28:29 ####################
Total memory,15.87 GB
Available memory,4.58 GB
In use memory,11.29 GB
Memory usage,4.58%
#################### MEMORY STATS 12/12/2022 20:28:30 ####################
Total memory,15.87 GB
Available memory,4.57 GB
In use memory,11.3 GB
Memory usage,4.57%
#################### MEMORY STATS 12/12/2022 20:28:31 ####################
Total memory,15.87 GB
Available memory,4.57 GB
In use memory,11.3 GB
Memory usage,4.57%
#################### MEMORY STATS 12/12/2022 20:28:33 ####################
Total memory,15.87 GB
Available memory,4.57 GB
In use memory,11.3 GB
Memory usage,4.57%
#################### MEMORY STATS 12/12/2022 20:28:34 ####################
Total memory,15.87 GB
Available memory,4.57 GB
In use memory,11.3 GB
Memory usage,4.57%
#################### MEMORY STATS 12/12/2022 20:28:35 ####################
Total memory,15.87 GB
Available memory,4.56 GB
In use memory,11.31 GB
Memory usage,4.56%
#################### MEMORY STATS 12/12/2022 20:28:36 ####################
Total memory,15.87 GB
Available memory,4.56 GB
In use memory,11.31 GB
Memory usage,4.56%
#################### MEMORY STATS 12/12/2022 20:29:27 ####################
Total memory,15.87 GB
Available memory,4.49 GB
In use memory,11.38 GB
Memory usage,4.49%
#################### MEMORY STATS 12/12/2022 20:29:28 ####################
Total memory,15.87 GB
Available memory,4.51 GB
In use memory,11.36 GB
Memory usage,4.51%
#################### MEMORY STATS 12/12/2022 20:29:29 ####################
Total memory,15.87 GB
Available memory,4.52 GB
In use memory,11.35 GB
Memory usage,4.52%
#################### MEMORY STATS 12/12/2022 20:29:31 ####################
Total memory,15.87 GB
Available memory,4.52 GB
In use memory,11.35 GB
Memory usage,4.52%
#################### MEMORY STATS 12/12/2022 20:29:32 ####################
Total memory,15.87 GB
Available memory,4.53 GB
In use memory,11.34 GB
Memory usage,4.53%
#################### MEMORY STATS 12/12/2022 20:29:33 ####################
Total memory,15.87 GB
Available memory,4.53 GB
In use memory,11.34 GB
Memory usage,4.53%
#################### MEMORY STATS 12/12/2022 20:29:34 ####################
Total memory,15.87 GB
Available memory,4.54 GB
In use memory,11.34 GB
Memory usage,4.54%
#################### MEMORY STATS 13/12/2022 14:01:22 ####################
Total memory,15.87 GB
Available memory,5.38 GB
In use memory,10.49 GB
Memory usage,5.38%
#################### MEMORY STATS 13/12/2022 14:01:24 ####################
Total memory,15.87 GB
Available memory,5.4 GB
In use memory,10.47 GB
Memory usage,5.4%
#################### MEMORY STATS 13/12/2022 14:01:25 ####################
Total memory,15.87 GB
Available memory,5.4 GB
In use memory,10.48 GB
Memory usage,5.4%
#################### MEMORY STATS 13/12/2022 14:01:26 ####################
Total memory,15.87 GB
Available memory,5.4 GB
In use memory,10.48 GB
Memory usage,5.4%
#################### MEMORY STATS 13/12/2022 14:01:27 ####################
Total memory,15.87 GB
Available memory,5.39 GB
In use memory,10.48 GB
Memory usage,5.39%
#################### MEMORY STATS 13/12/2022 14:01:29 ####################
Total memory,15.87 GB
Available memory,5.4 GB
In use memory,10.47 GB
Memory usage,5.4%
#################### MEMORY STATS 13/12/2022 14:01:30 ####################
Total memory,15.87 GB
Available memory,5.39 GB
In use memory,10.48 GB
Memory usage,5.39%
#################### MEMORY STATS 13/12/2022 14:01:31 ####################
Total memory,15.87 GB
Available memory,5.39 GB
In use memory,10.48 GB
Memory usage,5.39%
#################### MEMORY STATS 13/12/2022 14:01:32 ####################
Total memory,15.87 GB
Available memory,5.39 GB
In use memory,10.48 GB
Memory usage,5.39%
#################### MEMORY STATS 13/12/2022 14:01:34 ####################
Total memory,15.87 GB
Available memory,5.39 GB
In use memory,10.48 GB
Memory usage,5.39%
#################### MEMORY STATS 13/12/2022 14:01:35 ####################
Total memory,15.87 GB
Available memory,5.4 GB
In use memory,10.47 GB
Memory usage,5.4%
#################### MEMORY STATS 13/12/2022 14:01:36 ####################
Total memory,15.87 GB
Available memory,5.4 GB
In use memory,10.47 GB
Memory usage,5.4%
#################### MEMORY STATS 13/12/2022 14:01:38 ####################
Total memory,15.87 GB
Available memory,5.4 GB
In use memory,10.47 GB
Memory usage,5.4%
#################### MEMORY STATS 13/12/2022 14:01:39 ####################
Total memory,15.87 GB
Available memory,5.41 GB
In use memory,10.47 GB
Memory usage,5.41%
#################### MEMORY STATS 13/12/2022 14:01:40 ####################
Total memory,15.87 GB
Available memory,5.4 GB
In use memory,10.48 GB
Memory usage,5.4%
#################### MEMORY STATS 13/12/2022 14:01:41 ####################
Total memory,15.87 GB
Available memory,5.4 GB
In use memory,10.47 GB
Memory usage,5.4%
#################### MEMORY STATS 13/12/2022 14:01:43 ####################
Total memory,15.87 GB
